Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
417.635,14346,-7975,26,94
418.145,14346,-7971,26,94
418.661,14342,-7937,26,94
419.148,14342,-7993,26,94
419.721,14338,-7968,26,94
420.192,14346,-7956,26,94
420.661,14346,-7968,26,94
421.201,14346,-8000,26,94
421.645,14338,-7978,26,94
422.177,14346,-7984,26,94
422.688,14349,-7987,26,94
423.161,14349,-7990,26,94
423.648,14338,-7959,26,94
424.133,14346,-7975,26,94
424.645,14346,-7984,26,94
425.166,14342,-8012,26,94
425.693,14346,-7934,26,94
426.163,14342,-7965,26,94
426.697,14342,-7971,26,94
427.147,14338,-7971,26,94
427.692,14342,-7965,26,94
428.163,14342,-7975,26,94
428.716,14335,-7934,26,94
429.183,14338,-7993,26,94
429.647,14342,-7965,26,94
430.164,14335,-8015,26,94
430.696,14342,-8000,26,94
431.146,14342,-7996,26,94
431.641,14342,-7993,26,94
432.189,14342,-7978,26,94
432.673,14346,-7950,26,94
433.197,14338,-7978,26,94
433.655,14342,-8000,26,94
434.153,14342,-7928,26,94
434.654,14335,-7975,26,94
435.176,14342,-7953,26,94
435.665,14342,-8006,26,94
436.169,14335,-7931,26,94
436.645,14342,-8006,26,94
437.180,14342,-7990,26,94
437.648,14342,-7978,26,94
438.141,14338,-7940,26,94
438.676,14342,-7956,26,94
439.196,14338,-7965,26,94
439.686,14342,-8028,26,94
440.180,14338,-7959,26,94
440.726,14338,-7987,26,94
441.205,14338,-7984,26,94
441.681,14338,-7996,26,94
442.220,14338,-7956,26,94
442.680,14338,-7965,26,94
443.158,14331,-7984,26,93
443.671,14335,-8009,26,93
444.171,14338,-7993,26,94
444.717,14342,-7959,26,94
445.174,14338,-7965,26,94
445.704,14342,-7940,26,94
446.170,14335,-7968,26,94
446.688,14338,-7968,26,94
447.221,14335,-8015,26,94
447.698,14338,-7946,26,94
448.155,14338,-7965,26,94
448.688,14331,-7984,26,93
449.166,14338,-7965,26,94
449.682,14335,-7959,26,94
450.160,14338,-7975,26,94
450.645,14331,-7987,26,93
451.186,14335,-7978,26,93
451.699,14335,-7971,26,94
452.182,14335,-7950,26,94
452.679,14335,-7978,26,94
453.151,14331,-8006,26,93
453.752,14331,-7959,26,93
454.160,14331,-7968,26,93
454.713,14335,-7975,26,93
455.197,14331,-7950,26,93
455.697,14335,-7959,26,93
456.201,14338,-8025,26,94
456.729,14335,-7965,26,94
457.206,14338,-7971,26,94
457.661,14335,-7971,26,94
458.149,14338,-7965,26,94
458.652,14338,-7928,26,94
459.159,14331,-7990,26,93
459.654,14328,-7946,26,93
